Unique Value,Precision,Recall,fbeta
Adm-clerical,0.9271255060728745,0.903353057199211,0.915084915084915
Exec-managerial,0.9547325102880658,0.943089430894309,0.9488752556237219
Handlers-cleaners,0.9863013698630136,0.8372093023255814,0.9056603773584905
Prof-specialty,0.9562123700054734,0.9397525551371705,0.9479110146500271
Other-service,0.9823008849557522,0.8102189781021898,0.8879999999999999
Sales,0.938753959873284,0.9043743641912513,0.9212435233160622
Craft-repair,0.9547123623011016,0.8396124865446717,0.8934707903780068
Transport-moving,0.9608540925266904,0.84375,0.8985024958402663
Farming-fishing,0.9805825242718447,0.8782608695652174,0.926605504587156
Machine-op-inspct,0.9347826086956522,0.86,0.8958333333333334
Tech-support,0.956989247311828,0.9434628975265018,0.9501779359430605
?,0.9526627218934911,0.8429319371727748,0.8944444444444444
Protective-serv,0.9365853658536586,0.909952606635071,0.923076923076923
Armed-Forces,1.0,1.0,1.0
Priv-house-serv,1.0,1.0,1.0
